movie_title,release_date,region
Joker: Folie à Deux (2024),2024-10-04,GB
A Different Man (2024),2024-10-04,GB
Vettaiyan (2024),2024-10-10,GB
Transformers One (2024),2024-10-11,GB
Terrifier 3 (2024),2024-10-11,GB
Salem's Lot (2024),2024-10-11,GB
Timestalker (2024),2024-10-11,GB
Buffalo Kids (2024),2024-10-11,GB
Portraits of Dangerous Women (2024),2024-10-11,GB
The Wild Robot (2024),2024-10-18,GB
Smile 2 (2024),2024-10-18,GB
A Sudden Glimpse to Deeper Things (2024),2024-10-18,GB
Venom: The Last Dance (2024),2024-10-25,GB
The Front Room (2024),2024-10-25,GB
The Room Next Door (2024),2024-10-25,GB
Dahomey (2024),2024-10-25,GB
Anora (2024),2024-11-01,GB
Heretic (2024),2024-11-01,GB
Small Things Like These (2024),2024-11-01,GB
Super/Man: The Christopher Reeve Story (2024),2024-11-01,GB
Juror #2 (2024),2024-11-01,GB
The Divided Island (2024),2024-11-01,GB
Red One (2024),2024-11-06,GB
Piece by Piece (2024),2024-11-08,GB
Paddington in Peru (2024),2024-11-08,GB
Nickel Boys (2024),2024-11-08,GB
Merry Good Enough (2023),2024-11-11,GB
Gladiator II (2024),2024-11-15,GB
Conclave (2024),2024-11-15,GB
Wise Guys (2024),2024-11-15,GB
"Kiss Me, Kate: The Musical (2024)",2024-11-17,GB
Wicked (2024),2024-11-22,GB
Moana 2 (2024),2024-11-29,GB
Rumours (2024),2024-12-06,GB
Your Monster (2024),2024-12-06,GB
The Lord of the Rings: The War of the Rohirrim (2024),2024-12-13,GB
Kraven the Hunter (2024),2024-12-13,GB
Mufasa: The Lion King (2024),2024-12-20,GB
Wallace & Gromit: Vengeance Most Fowl (2024),2024-12-25,GB
Better Man (2024),2024-12-26,GB
La Cocina (2024),2024-12-26,GB
Sonic the Hedgehog 3 (2024),2024-12-27,GB
Nosferatu (2024),2025-01-01,GB
We Live in Time (2024),2025-01-01,GB
Grind (2025),2025-01-01,GB
Babygirl (2024),2025-01-10,GB
A Real Pain (2024),2025-01-10,GB
The Auditors (2025),2025-01-10,GB
Here (2024),2025-01-17,GB
A Complete Unknown (2024),2025-01-17,GB
Wolf Man (2025),2025-01-17,GB
The Brutalist (2024),2025-01-24,GB
Flight Risk (2024),2025-01-24,GB
Presence (2024),2025-01-24,GB
September 5 (2024),2025-01-24,GB
Saturday Night (2024),2025-01-31,GB
Mickey 17 (2025),2025-01-31,GB
Hard Truths (2024),2025-01-31,GB
Dog Man (2025),2025-02-07,GB
Captain America: Brave New World (2025),2025-02-14,GB
Bridget Jones: Mad About the Boy (2025),2025-02-14,GB
The Smurfs Movie (2025),2025-02-14,GB
The Monkey (2025),2025-02-21,GB
The Unbreakable Boy (2025),2025-02-21,GB
Sinners (2025),2025-03-07,GB
Novocaine (2025),2025-03-14,GB
Snow White (2025),2025-03-22,GB
A Minecraft Movie (2025),2025-04-04,GB
Michael (2025),2025-04-18,GB
Thunderbolts* (2025),2025-05-02,GB
Flowervale Street (2025),2025-05-16,GB
Mission: Impossible - Dead Reckoning Part Two (2025),2025-05-21,GB
Karate Kid (2025),2025-05-30,GB
Dirty Dancing 2 (2025),2025-06-06,GB
Ballerina (2025),2025-06-07,GB
How to Train Your Dragon (2025),2025-06-13,GB
Elio (2025),2025-06-13,GB
28 Years Later (2025),2025-06-20,GB
F1 (2025),2025-06-27,GB
M3GAN 2.0 (2025),2025-06-27,GB
Jurassic World Rebirth (2025),2025-07-02,GB
Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free (2025),2025-07-04,GB
Superman: Legacy (2025),2025-07-11,GB
I Never Forget What You Did Last Summer (2025),2025-07-18,GB
The Naked Gun (2025),2025-07-18,GB
The Fantastic Four (2025),2025-07-25,GB
The Bad Guys 2 (2025),2025-08-01,GB
The Battle of Baktan Cross (2025),2025-08-08,GB
Vicious (2025),2025-08-08,GB
Nobody 2 (2025),2025-08-15,GB
Animal Friends (2025),2025-08-15,GB
Thread: An Insidious Tale (2025),2025-08-29,GB
Untitled Sony/Blumhouse Insidious (2025),2025-08-29,GB
The Conjuring: Last Rites (2025),2025-09-05,GB
Downton Abbey 3 (2025),2025-09-12,GB
Saw XI (2025),2025-09-27,GB
The Legend of Johnny Jones (2024),2024-10-03,US
Joker: Folie à Deux (2024),2024-10-04,US
A Different Man (2024),2024-10-04,US
The Outrun (2024),2024-10-04,US
Monster Summer (2024),2024-10-04,US
White Bird (2023),2024-10-04,US
Things Will Be Different (2024),2024-10-04,US
The Forest Hills (2023),2024-10-04,US
Take Cover (2024),2024-10-04,US
Leap of Faith (2024),2024-10-04,US
The Unraveling (2023),2024-10-08,US
Heart of a Servant - The Father Flanagan Story (2024),2024-10-08,US
Mad About the Boy: The Noel Coward Story (2023),2024-10-09,US
The Mother God (2024),2024-10-10,US
Terrifier 3 (2024),2024-10-11,US
Saturday Night (2024),2024-10-11,US
The Apprentice (2024),2024-10-11,US
Piece by Piece (2024),2024-10-11,US
Bad Genius (2024),2024-10-11,US
My Hero Academia: You're Next (2024),2024-10-11,US
The Silent Hour (2024),2024-10-11,US
10 Lives (2024),2024-10-11,US
Bonus Track (2023),2024-10-11,US
Curious Caterer: Forbidden Fruit (2024),2024-10-11,US
Taeyong: TY Track in Cinemas (2024),2024-10-16,US
The Great Warning (2024),2024-10-17,US
Tom Petty: Heartbreakers Beach Party (2024),2024-10-17,US
Rumours (2024),2024-10-18,US
We Live in Time (2024),2024-10-18,US
Smile 2 (2024),2024-10-18,US
The Red (2024),2024-10-18,US
I Will Never Leave You Alone (2023),2024-10-18,US
Dahomey (2024),2024-10-18,US
Kensuke's Kingdom (2023),2024-10-18,US
Union (2024),2024-10-18,US
Allswell in New York (2022),2024-10-18,US
Roblox: The Movie (2024),2024-10-18,US
Detour 95 (2024),2024-10-24,US
Venom: The Last Dance (2024),2024-10-25,US
Conclave (2024),2024-10-25,US
Your Monster (2024),2024-10-25,US
A Real Pain (2024),2024-11-01,US
Blitz (2024),2024-11-01,US
Here (2024),2024-11-01,US
Absolution (2024),2024-11-01,US
Hitpig (2024),2024-11-01,US
Lost on a Mountain in Maine (2024),2024-11-01,US
The Carpenter (2023),2024-11-01,US
72 Hours (2024),2024-11-01,US
The Graduates (2023),2024-11-01,US
Stranded Pearl (2024),2024-11-01,US
21st Century Cleo (2024),2024-11-01,US
Starring Jerry as Himself (2023),2024-11-06,US
Josephine Baker (2024),2024-11-07,US
Small Things Like These (2024),2024-11-08,US
Weekend in Taipei (2024),2024-11-08,US
Bird (2024),2024-11-08,US
The Best Christmas Pageant Ever (2024),2024-11-08,US
Overlord Sei Oukoku-hen (2024),2024-11-08,US
Love Bomb (2024),2024-11-08,US
Fighting Spirit: A Combat Chaplain's Journey (2024),2024-11-08,US
Infernal (2024),2024-11-09,US
Babymetal: Legend 43 - The Movie (2024),2024-11-11,US
#FamilyMan (2024),2024-11-11,US
Saint Nick of Bethlehem (2024),2024-11-14,US
Red One (2024),2024-11-15,US
Heretic (2024),2024-11-15,US
Christmas Eve in Miller's Point (2024),2024-11-15,US
STZ (2024),2024-11-21,US
Gladiator II (2024),2024-11-22,US
Wicked (2024),2024-11-22,US
Bonhoeffer: Pastor. Spy. Assassin. (2024),2024-11-22,US
Never Look Away (2024),2024-11-22,US
Moana 2 (2024),2024-11-27,US
From the Ashes (2024),2024-12-01,US
Space Dogg (2024),2024-12-01,US
Nightbitch (2024),2024-12-06,US
The Return (2024),2024-12-06,US
Werewolves (2024),2024-12-06,US
Y2K (2024),2024-12-06,US
Oh Canada (2024),2024-12-06,US
Svalta (2024),2024-12-06,US
Solo Leveling: ReAwakening (2024),2024-12-06,US
The Satire (2024),2024-12-07,US
The Lord of the Rings: The War of the Rohirrim (2024),2024-12-13,US
Kraven the Hunter (2024),2024-12-13,US
Sonic the Hedgehog 3 (2024),2024-12-20,US
The Count of Monte-Cristo (2024),2024-12-20,US
Mufasa: The Lion King (2024),2024-12-20,US
Homestead (2024),2024-12-20,US
Elephant Steps (2024),2024-12-21,US
Babygirl (2024),2024-12-25,US
Nosferatu (2024),2024-12-25,US
A Complete Unknown (2024),2024-12-25,US
The Fire Inside (2024),2024-12-25,US
The Street Avenger (2024),2024-12-25,US
Alien Wars: Judgement Day (2024),2024-12-29,US
Apophis 2029 (2024),2024-12-30,US
Crystal (2024),2024-12-30,US
Screamboat (2025),2025-01-01,US
Grind (2025),2025-01-01,US
The Delegator (2024),2025-01-03,US
Den of Thieves 2 (2025),2025-01-10,US
Somewhere in Montana (2025),2025-01-10,US
Paddington in Peru (2024),2025-01-17,US
Wolf Man (2025),2025-01-17,US
In the Grey (2025),2025-01-17,US
Better Man (2024),2025-01-17,US
Levon's Trade (2025),2025-01-17,US
Flight Risk (2024),2025-01-24,US
Presence (2024),2025-01-24,US
Inheritance (2025),2025-01-24,US
Mickey 17 (2025),2025-01-31,US
Dog Man (2025),2025-01-31,US
Valiant One (2025),2025-01-31,US
Game of Power (2025),2025-02-02,US
With Love (2025),2025-02-07,US
Captain America: Brave New World (2025),2025-02-14,US
Bridget Jones: Mad About the Boy (2025),2025-02-14,US
The Smurfs Movie (2025),2025-02-14,US
Verona's Romeo & Juliet (2025),2025-02-14,US
The Monkey (2025),2025-02-21,US
The Unbreakable Boy (2025),2025-02-21,US
Peter Pan's Neverland Nightmare (2025),2025-02-24,US
My Dead Friend Zoe (2024),2025-02-28,US
Last Breath (2025),2025-02-28,US
Sinners (2025),2025-03-07,US
Roblox Movie (2025),2025-03-07,US
Black Bag (2025),2025-03-14,US
Novocaine (2025),2025-03-14,US
Snow White (2025),2025-03-21,US
Wise Guys (2024),2025-03-21,US
The Woman in the Yard (2025),2025-03-28,US
Kayara (2025),2025-03-30,US
A Minecraft Movie (2025),2025-04-04,US
Bonhoeffer: Holy Traitor (2025),2025-04-04,US
Delfino's Journey (2025),2025-04-10,US
The Perfect Destiny (2025),2025-04-10,US
Drop (2025),2025-04-11,US
Amateur (2025),2025-04-11,US
Michael (2025),2025-04-18,US
The Accountant 2 (2025),2025-04-25,US
Thunderbolts* (2025),2025-05-02,US
The Last Battleship (2025),2025-05-02,US
A Big Bold Beautiful Journey (2025),2025-05-09,US
Atlantis (2025),2025-05-09,US
A Guardian's Heart (2025),2025-05-15,US
The Lost Locket (2025),2025-05-15,US
Flowervale Street (2025),2025-05-16,US
The Crypto: Beyond (2025),2025-05-16,US
90's Babiez (2025),2025-05-17,US
Mission: Impossible - Dead Reckoning Part Two (2025),2025-05-23,US
Karate Kid (2025),2025-05-30,US
Ballerina (2025),2025-06-06,US
Dirty Dancing 2 (2025),2025-06-06,US
Crawlers (2025),2025-06-10,US
How to Train Your Dragon (2025),2025-06-13,US
Elio (2025),2025-06-13,US
Becoming the Night: A Nightwing Story (2025),2025-06-19,US
28 Years Later (2025),2025-06-20,US
Lost Weekend (2025),2025-06-25,US
M3GAN 2.0 (2025),2025-06-27,US
Untitled Sony/Marvel Live Action (2025),2025-06-27,US
Naya Legend of the Golden Dolphin (2025),2025-06-28,US
Jurassic World Rebirth (2025),2025-07-02,US
Untitled Universal Event Film (2025),2025-07-02,US
Touch (2025),2025-07-04,US
Reparations in America (2025),2025-07-04,US
Superman: Legacy (2025),2025-07-11,US
I Never Forget What You Did Last Summer (2025),2025-07-18,US
The Naked Gun (2025),2025-07-18,US
The Fantastic Four (2025),2025-07-25,US
The Bad Guys 2 (2025),2025-08-01,US
Beneath the Storm (2025),2025-08-01,US
Experiment 77 (2025),2025-08-01,US
Big Tree (2025),2025-08-04,US
The Battle of Baktan Cross (2025),2025-08-08,US
Vicious (2025),2025-08-08,US
Nobody 2 (2025),2025-08-15,US
Mercy (2025),2025-08-15,US
Animal Friends (2025),2025-08-15,US
Thread: An Insidious Tale (2025),2025-08-29,US
Untitled Sony/Blumhouse Insidious (2025),2025-08-29,US
Another in the Fire (2025),2025-09-01,US
Jessica Frost (2025),2025-09-04,US
The Conjuring: Last Rites (2025),2025-09-05,US
Downton Abbey 3 (2025),2025-09-12,US
Untitled Disney (2025),2025-09-12,US
Him (2025),2025-09-19,US
The Bride (2025),2025-09-26,US
Saw XI (2025),2025-09-26,US
Gabby's Dollhouse: The Movie (2025),2025-09-26,US
We Harvest (2025),2025-10-03,US
